Name|Age|Email|Job|Fav_Color
Lev Wilder|36|in.consequat@Etiam.co.uk|Customer Relations|indigo
Yoshio Cummings|35|dictum@urnaNunc.net|Tech Support|violet
Cullen Morrow|21|sit.amet@quis.org|Sales and Marketing|indigo
Kelly Reilly|23|et.libero@etrutrumeu.co.uk|Legal Department|violet
Audra Nash|35|non@Crassedleo.net|Media Relations|orange
Freya Herman|19|quis.massa@ligula.ca|Accounting|yellow
Adara Roy|24|venenatis@auctornonfeugiat.co.uk|Customer Service|red
Karina Dillard|38|vitae.odio@tinciduntcongue.org|Accounting|orange
Colby Kidd|23|habitant@eueleifend.org|Payroll|indigo
Mariko Haley|23|leo@eueratsemper.co.uk|Accounting|yellow
Zachary Winters|18|malesuada.fames.ac@enimcommodo.org|Media Relations|orange
Beatrice Foster|23|eu.odio@non.org|Asset Management|blue
Harrison Holder|29|ut.molestie@dolorDonec.ca|Customer Relations|violet
Paloma Schultz|26|imperdiet.dictum@Suspendissealiquetsem.co.uk|Customer Relations|yellow
Peter Bradshaw|29|mauris@sagittis.co.uk|Media Relations|green
Zia Larsen|20|malesuada.vel@ac.org|Sales and Marketing|indigo
Ira Holt|35|bibendum.sed@orciUt.edu|Customer Service|violet
Dawn Harvey|34|Phasellus@magna.ca|Asset Management|orange
Walter Wagner|19|malesuada.vel.convallis@Maurisquis.org|Advertising|red
Tanek Banks|40|a@porttitorinterdumSed.co.uk|Payroll|orange
Callie Wilder|21|primis.in@quisurnaNunc.net|Legal Department|violet
Liberty Britt|27|senectus@estarcuac.co.uk|Sales and Marketing|red
Marvin Marquez|39|risus@hendreritneque.ca|Customer Service|violet
Amanda Hampton|30|a@Aeneanegetmetus.ca|Legal Department|yellow
Christopher Rios|18|massa@ut.net|Customer Service|blue
Sacha Juarez|30|elementum.purus@at.com|Finances|violet
Hayes Walton|35|purus.Nullam.scelerisque@Phasellusdapibusquam.edu|Research and Development|blue
Colton Burch|21|a@vulputate.org|Customer Service|orange
Kamal Gross|38|pede.Praesent@quamelementum.edu|Research and Development|indigo
Shannon Hinton|22|lobortis.quis.pede@duiFusce.net|Payroll|violet
Cleo Crawford|26|a.arcu.Sed@convallisdolor.co.uk|Legal Department|indigo
Colby Conley|38|egestas@arcu.edu|Research and Development|violet
Jordan Morris|19|lobortis.tellus@nonenim.ca|Media Relations|green
Yvonne Hamilton|30|justo@elementumloremut.org|Finances|green
Wyatt Taylor|39|eu@est.edu|Media Relations|indigo
Zane Slater|23|parturient@Aenean.ca|Asset Management|yellow
Flavia Morris|37|Donec.tincidunt@loremvitaeodio.ca|Accounting|green
Quinn Finch|34|enim.nisl.elementum@aliquameros.com|Legal Department|indigo
Joy Ramsey|35|sed.libero@Fusce.edu|Finances|blue
Callum Roman|21|cursus.luctus.ipsum@Proinsed.org|Tech Support|violet
Ursa Neal|34|magna@ipsum.co.uk|Customer Relations|violet
Sloane Charles|30|dignissim.pharetra.Nam@eget.edu|Research and Development|violet
Brett Henson|20|id.libero.Donec@molestiedapibus.org|Asset Management|red
